# number of EEPs, cols =  1518   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  193         9.0000000000000000E+000         1.0000000000000001E-001         9.9999784414299075E-002         3.4602482930258143E+000         5.2359131385071702E+000        -3.0021289894865939E+000         0.0000000000000000E+000            0.041489           18.724009           17.444008           15.817379           14.157639           12.189769           10.225313            9.527893            9.299563           13.903664           16.670818           15.481144           17.686872           16.088362           13.769051           16.078474           12.480574           13.789265           16.031071           16.074068           12.454657           12.317294           13.808018           16.056503           12.452286           -1.000000
  194         9.0000000000000000E+000         1.0344921017621025E-001         1.0344898581296137E-001         3.4626494969266655E+000         5.2277589395547848E+000        -2.9722224663138439E+000         0.0000000000000000E+000            0.041495           18.547201           17.279186           15.666284           14.036204           12.089372           10.156004            9.462976            9.235668           13.794009           16.511061           15.348608           17.520782           15.935318           13.665701           15.927854           12.383139           13.684076           15.880532           15.923552           12.357424           12.224094           13.702909           15.905886           12.354848           -1.000000
  195         9.0000000000000000E+000         1.0810297513345854E-001         1.0810273859264191E-001         3.4658899570600892E+000         5.2167426796417073E+000        -2.9318546286879004E+000         0.0000000000000000E+000            0.041502           18.310780           17.058708           15.463428           13.872698           11.954885           10.062623            9.375051            9.149143           13.646496           16.296753           15.170046           17.298748           15.729840           13.526502           15.725560           12.252160           13.542477           15.678363           15.721342           12.226709           12.098401           13.561411           15.703543           12.223892           -1.000000
  196         9.0000000000000000E+000         1.1293234303817670E-001         1.1293209343004859E-001         3.4692563483994232E+000         5.2052485498892382E+000        -2.8898867544754108E+000         0.0000000000000000E+000            0.041514           18.067932           16.832022           15.254145           13.703408           11.816581            9.965912            9.283485            9.059005           13.493947           16.076397           14.985209           17.070755           15.517883           13.382418           15.516869           12.116937           13.395984           15.469799           15.512745           12.091755           11.968572           13.415014           15.494783           12.088728           -1.000000
  197         9.0000000000000000E+000         1.1754374849258482E-001         1.1754348595768196E-001         3.4724709223008663E+000         5.1942721328097203E+000        -2.8498114884741073E+000         0.0000000000000000E+000            0.041522           17.839153           16.618246           15.056223           13.542551           11.686152            9.874126            9.196111            8.972908           13.349196           15.868076           14.809671           16.855993           15.317389           13.245647           15.319407           11.988956           13.256979           15.272465           15.315368           11.964025           11.845661           13.276095           15.297225           11.960836           -1.000000
  198         9.0000000000000000E+000         1.2240246755502215E-001         1.2240219091482429E-001         3.4758604748849686E+000         5.1826659664077646E+000        -2.8075355643722686E+000         0.0000000000000000E+000            0.041534           17.601669           16.396082           14.849716           13.373939           11.550550            9.778101            9.104232            8.882214           13.197683           15.650818           14.625916           16.633039           15.108193           13.102500           15.113593           11.855452           13.111532           15.066792           15.109677           11.830778           11.717421           13.130734           15.091311           11.827460           -1.000000
  199         9.0000000000000000E+000         1.2710030888559723E-001         1.2710001807128107E-001         3.4791384093603868E+000         5.1714379032549411E+000        -2.7666507995037786E+000         0.0000000000000000E+000            0.041547           17.376276           16.184858           14.652328           13.211890           11.421540            9.686497            9.015834            8.794743           13.052380           15.443241           14.449621           16.421389           14.908243           12.965266           14.916930           11.727960           12.972130           14.870272           14.913168           11.703530           11.594951           12.991409           14.894527           11.700130           -1.000000
  200         9.0000000000000000E+000         1.3183515466695639E-001         1.3183484901697054E-001         3.4824430261749559E+000         5.1601116207778910E+000        -2.7254307635759734E+000         0.0000000000000000E+000            0.041558           17.153286           15.975311           14.454987           13.048922           11.293553            9.595142            8.927007            8.706652           12.906818           15.235804           14.272406           16.212065           14.708361           12.827724           14.720287           11.600757           12.832491           14.673765           14.716694           11.576566           11.472732           12.851835           14.697727           11.573143           -1.000000
  201         9.0000000000000000E+000         1.3664314720605278E-001         1.3664282587016049E-001         3.4857997281185540E+000         5.1485998363347409E+000        -2.6835592760568501E+000         0.0000000000000000E+000            0.041573           16.930965           15.765308           14.256316           12.883837           11.165328            9.502818            8.836898            8.617130           12.759767           15.027117           14.093005           16.003372           14.507150           12.688662           14.522278           11.472633           12.691393           14.475888           14.518866           11.448679           11.349580           12.710793           14.499529           11.445288           -1.000000
  202         9.0000000000000000E+000         1.4120393585926724E-001         1.4120359903064589E-001         3.4889840884852212E+000         5.1376807841703860E+000        -2.6438404960524524E+000         0.0000000000000000E+000            0.041587           16.723833           15.569756           14.069681           12.727788           11.045034            9.415421            8.751379            8.532058           12.620934           14.831159           13.923594           15.808840           14.318136           12.557239           14.336219           11.351892           12.558125           14.289951           14.332989           11.328154           11.233455           12.577567           14.313272           11.324834            0.000000
  203         9.0000000000000000E+000         1.4567997797410920E-001         1.4567962531893303E-001         3.4921101723425325E+000         5.1269561171925648E+000        -2.6048476702723313E+000         0.0000000000000000E+000            0.041601           16.523914           15.380745           13.888355           12.575271           10.927940            9.329581            8.667244            8.448298           12.485216           14.640969           13.758219           15.620905           14.134501           12.428614           14.155413           11.233934           12.427763           14.109262           14.152368           11.210404           11.119926           12.447244           14.132261           11.207187            0.000000
  204         9.0000000000000000E+000         1.4994757717859969E-001         1.4994720882673018E-001         3.4950909434303323E+000         5.1167319019860820E+000        -2.5676706469018744E+000         0.0000000000000000E+000            0.041615           16.336361           15.202901           13.717398           12.430649           10.817008            9.247541            8.586745            8.368134           12.356337           14.461918           13.601630           15.444344           13.961361           12.306308           13.984905           11.121879           12.303870           13.938869           13.982044           11.098540           11.011985           12.323382           13.961558           11.095442            0.000000
  205         9.0000000000000000E+000         1.6700420129937316E-001         1.6700378052833831E-001         3.4998689307157145E+000         5.0955007470511502E+000        -2.4846532761188755E+000         0.0000000000000000E+000            0.041644           15.978563           14.861640           13.388157           12.141961           10.581699            9.056877            8.398808            8.180608           12.092052           14.119061           13.294121           15.104897           13.628570           12.052168           13.656397           10.884260           12.047318           13.610567           13.653843           10.861217           10.780717           12.066875           13.632743           10.858345            0.000000
  206         9.0000000000000000E+000         1.8495596977164860E-001         1.8495549153971716E-001         3.5048739802527491E+000         5.0732097732924721E+000        -2.3974847076617420E+000         0.0000000000000000E+000            0.041676           15.611147           14.509892           13.049309           11.842614           10.335307            8.855223            8.199689            7.982425           11.816237           13.767296           12.976162           14.754930           13.286036           11.786334           13.318233           10.635263           11.779121           13.272634           13.316010           10.612512           10.538000           11.798729           13.294304           10.609881            0.000000
  207         9.0000000000000000E+000         2.0067592261844697E-001         2.0067539207791277E-001         3.5092320555072525E+000         5.0539772293376295E+000        -2.3219181735309591E+000         0.0000000000000000E+000            0.041706           15.300194           14.211031           12.762131           11.586843           10.122603            8.679338            8.025646            7.809325           11.578978           13.470217           12.705287           14.457488           12.995706           11.557095           13.031567           10.420152           11.547997           12.986177           13.029631           10.397637           10.327966           11.567650           13.007442           10.395223            0.000000
  208         9.0000000000000000E+000         2.0678843072683639E-001         2.0678788050476571E-001         3.5107188146477220E+000         5.0490291239411258E+000        -2.2991757765511691E+000         0.0000000000000000E+000            0.041717           15.205204           14.119082           12.673790           11.508262           10.058085            8.626753            7.973489            7.757510           11.506314           13.379212           12.621904           14.366166           12.906336           11.486998           12.943346           10.354749           11.477304           12.898023           12.941506           10.332312           10.264199           11.496972           12.919161           10.329974            0.000000
  209         9.0000000000000000E+000         2.1339498612088378E-001         2.1339441413891180E-001         3.5123259333945347E+000         5.0436733879998883E+000        -2.2745867486866302E+000         0.0000000000000000E+000            0.041728           15.103662           14.020639           12.579223           11.423832            9.988593            8.569825            7.916971            7.701397           11.428092           13.281908           12.532419           14.268390           12.810667           11.411465           12.848895           10.284248           11.401154           12.803642           12.847158           10.261892           10.195415           11.420836           12.824646           10.259642            0.000000
  210         9.0000000000000000E+000         2.1963121180282802E-001         2.1963061879672122E-001         3.5138431722631305E+000         5.0386126635058641E+000        -2.2513700241581858E+000         0.0000000000000000E+000            0.041738           15.008883           13.928600           12.490813           11.344613            9.923228            8.516014            7.863498            7.648315           11.354558           13.191050           12.448553           14.176971           12.721229           11.340390           12.760580           10.217884           11.329519           12.715395           12.758941           10.195603           10.130625           11.349216           12.736274           10.193439            0.000000
  211         9.0000000000000000E+000         2.2572728296862932E-001         2.2572666893787241E-001         3.5153265236833757E+000         5.0336581983207935E+000        -2.2286667557255000E+000         0.0000000000000000E+000            0.041751           14.917198           13.839421           12.405154           11.267600            9.859538            8.463344            7.811111            7.596323           11.282948           13.103119           12.367109           14.088617           12.634572           11.271113           12.675000           10.153175           11.259716           12.629881           12.673456           10.130965           10.067412           11.279425           12.650640           10.128888            0.000000
  212         9.0000000000000000E+000         2.3221895932644804E-001         2.3221832235997886E-001         3.5169063772740081E+000         5.0283710110583497E+000        -2.2044779948338400E+000         0.0000000000000000E+000            0.041763           14.820596           13.745291           12.314734           11.186036            9.791927            8.407181            7.755200            7.540843           11.206970           13.010411           12.280946           13.995548           12.543099           11.197549           12.584650           10.084435           11.185613           12.539600           12.583208           10.062299           10.000221           11.205335           12.560234           10.060317            0.000000
  213         9.0000000000000000E+000         2.3836383787630636E-001         2.3836317866224382E-001         3.5184020686431174E+000         5.0233582064829427E+000        -2.1815724282634017E+000         0.0000000000000000E+000            0.041774           14.730108           13.656954           12.229870           11.109241            9.728129            8.353962            7.702172            7.488233           11.135316           12.923504           12.199903           13.907805           12.457249           11.128111           12.499842           10.019528           11.115685           12.454857           12.498494            9.997459            9.936741           11.135417           12.475374            9.995572            0.000000
  214         9.0000000000000000E+000         2.4442889458059719E-001         2.4442821287248542E-001         3.5198785551383098E+000         5.0183991426634789E+000        -2.1589521321131655E+000         0.0000000000000000E+000            0.041783           14.641679           13.570467           12.146767           11.033814            9.665341            8.301378            7.649734            7.436216           11.064828           12.838499           12.120386           13.821700           12.373179           11.059752           12.416780            9.955607           11.046860           12.371862           12.415529            9.933604            9.874192           11.066603           12.392265            9.931811            0.000000
  215         9.0000000000000000E+000         2.5146680419113843E-001         2.5146609611956688E-001         3.5215848866755493E+000         5.0129523010426968E+000        -2.1335591879118443E+000         0.0000000000000000E+000            0.041795           14.542644           13.473343           12.053445           10.949006            9.594899            8.242457            7.590914            7.377899           10.985566           12.743183           12.030982           13.725080           12.278753           10.982880           12.323491            9.883816           10.969468           12.278646           12.322348            9.861886            9.803945           10.989224           12.298922            9.860206            0.000000
  216         9.0000000000000000E+000         2.6211997501009898E-001         2.6211922845242885E-001         3.5241264541206303E+000         5.0065584868733728E+000        -2.1001284925661570E+000         0.0000000000000000E+000            0.041814           14.409201           13.341707           11.927064           10.834576            9.501410            8.165653            7.514096            7.301867           10.879100           12.614468           11.910007           13.594452           12.150764           10.879846           12.197117            9.788248           10.865698           12.152374           12.196133            9.766426            9.710603           10.885471           12.172471            9.764915            0.000000
  217         9.0000000000000000E+000         2.7225720884694149E-001         2.7225642451687482E-001         3.5265452743167716E+000         5.0004342436935136E+000        -2.0682754072862308E+000         0.0000000000000000E+000            0.041831           14.284089           13.217893           11.808117           10.726423            9.412825            8.092462            7.440800            7.229339           10.778251           12.493531           11.795835           13.471676           12.030299           10.782144           12.078154            9.697588           10.767330           12.033508           12.077323            9.675864            9.621986           10.787120           12.053439            9.674522            0.000000
  218         9.0000000000000000E+000         2.8269503878706204E-001         2.8269421431654873E-001         3.5290361935567836E+000         4.9940758304745163E+000        -2.0354237249340263E+000         0.0000000000000000E+000            0.041849           14.158888           13.092966           11.688054           10.616589            9.322159            8.016864            7.364705            7.154133           10.675423           12.371971           11.680155           13.348028           11.908702           10.682352           11.958014            9.604780           10.666903           11.913457           11.957326            9.583153            9.531169           10.686709           11.933237            9.581984            0.000000
  219         9.0000000000000000E+000         2.9290483702366510E-001         2.9290397192392520E-001         3.5314730628488884E+000         4.9877946823125834E+000        -2.0032266238054559E+000         0.0000000000000000E+000            0.041867           14.037745           12.971698           11.571367           10.509546            9.233684            7.942801            7.290049            7.080364           10.575058           12.253992           11.567535           13.228090           11.790515           10.584885           11.841247            9.514117           10.568835           11.796776           11.840702            9.492582            9.442407           10.588657           11.816410            9.491588            0.000000
  220         9.0000000000000000E+000         3.0120600183637697E-001         3.0120510269881845E-001         3.5334928446508567E+000         4.9827824729893377E+000        -1.9771818234642229E+000         0.0000000000000000E+000            0.041884           13.939844           12.873394           11.476683           10.422666            9.162169            7.883076            7.229780            7.020838           10.493636           12.158367           11.476114           13.130977           11.694586           10.505832           11.746497            9.440715           10.489298           11.702097           11.746074            9.419255            9.370557           10.509133           11.721613            9.418408            0.000000
  221         9.0000000000000000E+000         3.0568188960826176E-001         3.0568097188646198E-001         3.5347028093064194E+000         4.9804891744365740E+000        -1.9636748131625348E+000         0.0000000000000000E+000            0.041892           13.886852           12.819929           11.425220           10.375819            9.124601            7.852577            7.198961            6.990462           10.450068           12.106473           11.426584           13.078314           11.642380           10.463686           11.694995            9.401979           10.446862           11.650637           11.694647            9.380565            9.332752           10.466706           11.670081            9.379808            0.000000
  222         9.0000000000000000E+000         3.1009239194698718E-001         3.1009145527574794E-001         3.5358930366397914E+000         4.9781734718425312E+000        -1.9503216375227670E+000         0.0000000000000000E+000            0.041899           13.834751           12.767300           11.374517           10.329625            9.087537            7.822430            7.168484            6.960425           10.407082           12.055363           11.377766           13.026494           11.590944           10.422091           11.644257            9.363744           10.404984           11.599939           11.643983            9.342373            9.295428           10.424837           11.619314            9.341707            0.000000
  223         9.0000000000000000E+000         3.1088406308754413E-001         3.1088311953695441E-001         3.5360928500069346E+000         4.9776161852877578E+000        -1.9478735256754631E+000         0.0000000000000000E+000            0.041902           13.825488           12.757967           11.365525           10.321386            9.080815            7.816852            7.162843            6.954860           10.399372           12.046282           11.369086           13.017288           11.581827           10.414612           11.635258            9.356825           10.397458           11.590948           11.634997            9.335462            9.288659           10.417313           11.610312            9.334810            0.000000
